Gene_Name	CKDdb_num_of_studies	CKDdb_Disease	GOA_Kidney_Research_Priority	tub_Exp_num_of_eQTLs	tub_Pr_of_no_eQTL	tub_FDR	glom_Exp_num_of_eQTLs	glom_Pr_of_no_eQTL	glom_FDR
IGK	124.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SDNK1	124.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
A30	124.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
A1A	51.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
SERPINA1	51.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
AAT	51.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
ALB	48.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
ALB-1	48.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
ALB1	48.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
HP	47.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
IGL	54.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
IGLV3-22	44.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
V2-15	44.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
TF	40.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
PRO1400	40.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
FN1	38.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
FN	38.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
AMBP	37.0	1.0	0	0.996	0.021	0.0025	0.0	0.0	0.0
ITIL	37.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
HCP	48.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
C3	37.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
CPAMD1	37.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
CLU	35.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0
APOJ	35.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
CLI	35.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
VCAN	34.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
CSPG2	34.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
CP	66.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
H2-D1	33.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
D(B)GENE	33.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
H2D	33.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0
