Gene_Name	Experimental_seed_genes_overlap	Inferred_seed_genes_overlap	known_gene	GTEx_kidney_TPM_expression	GTEx_kidney_Expression_Rank	ProteinAtlas_gene_expr_levels	ProteinAtlas_RNA_expression_TMP	GO_renal	GO_kidney	GO_nephro	GO_glomerul	GO_distal tubule	CKD-example_GWAS_hits	CKD-example_GWAS_max_P_VALUE	CKD-example_GWAS_min_P_VALUE	CKD-example_GWAS_max_OR	CKD-example_GWAS_min_OR	CKD-example_GWAS_tissue_trait_flag	MGI_mouse_knockout_feature
A1BG	0.14285714285714285	0.0	0.0	1.618	18225.0	Not_detected	0.1	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
A1CF	0.16666666666666666	0.0	0.0	2.256	18225.0	Medium	13.4	0.0	0.0	0.0	0.0	0.0	2.0	5e-09	1e-12	0.0077	0.0075	1.0	0.0
A2M	0.07142857142857142	0.0	0.0	253.9	143.0	Low	304.7	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
A2ML1	0.1	0.0	0.0	0.08016000000000001	18225.0	Not_detected	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
A4GALT	0.0	0.0	0.0	46.54	1374.0	0	10.8	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
A4GNT	0.15789473684210525	0.05555555555555555	0.0	0.7776	18225.0	Not_detected	0.3	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
AAAS	0.11538461538461539	0.041237113402061855	0.0	37.05	1817.0	High	11.4	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
AACS	0.0	0.0	0.0	2.77	18225.0	High	8.5	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
AADAC	1.0	0.0	0.0	0.031580000000000004	18225.0	Not_detected	0.2	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
AAED1	0.0	0.0	0.0	4.428	9242.0	Medium	5.8	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
AAGAB	0.05555555555555555	0.0	1.0	17.28	4075.0	High	29.5	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
AAK1	0.0625	0.1111111111111111	0.0	0.8778	18225.0	Low	16.3	0.0	0.0	0.0	0.0	0.0	0.0	2e-09	6e-12	0.3482195	0.032125	0.0	0.0
