	Train_Accuracy	Test_Accuracy	AUC
0	82.12	73.11	0.83451536643026
1	81.47	80.67	0.8829787234042553
2	80.71	76.67	0.841154182454095
3	81.55	70.83	0.7951034683765666
4	82.5	69.75	0.8026004728132388
5	82.57	72.5	0.8268726318857476
6	80.63	78.15	0.863179669030733
7	81.94	80.67	0.8921394799054374
8	80.26	72.27	0.8280141843971631
9	81.08	80.0	0.8580588749635675
10	80.45	73.95	0.7960992907801419
11	82.96	66.39	0.7848699763593381
12	81.08	75.0	0.8090935587292334
13	81.38	76.47	0.8339243498817969
14	82.85	77.5	0.8621393179830953
15	80.62	78.33	0.8551442728067619
16	79.7	77.31	0.8179669030732861
17	82.68	78.15	0.8309692671394799
18	82.29	81.67	0.8691343631594287
19	82.59	82.35	0.8498817966903073
20	80.26	74.79	0.8460401891252955
21	82.67	74.17	0.8120081608860391
22	82.77	72.27	0.8093971631205674
23	81.75	79.83	0.8930260047281324
24	83.43	67.23	0.7653664302600472
25	81.94	78.15	0.8404255319148937
26	82.59	75.63	0.8289007092198581
27	80.91	78.15	0.8061465721040189
28	81.19	79.83	0.8652482269503546
29	82.39	75.83	0.8461090061206645
30	83.05	73.95	0.8161938534278961
31	82.12	73.95	0.8076241134751773
32	80.54	77.31	0.8424940898345155
33	81.64	80.0	0.8545613523754008
34	80.06	82.5	0.9044010492567764
35	81.94	66.39	0.7236997635933806
36	81.28	75.63	0.7978723404255319
37	81.75	68.91	0.7887115839243499
38	80.54	78.15	0.8676122931442081
39	80.82	75.63	0.8362884160756501
40	80.8	80.0	0.8854561352375401
41	81.45	75.0	0.8382395802972894
42	81.94	73.11	0.7990543735224587
43	80.99	75.83	0.8496065287088312
44	81.28	76.47	0.8392434988179669
45	81.28	73.11	0.8212174940898345
46	81.45	71.67	0.7712037306907606
47	81.01	78.15	0.8389479905437353
48	81.66	76.47	0.8392434988179669
49	81.38	75.63	0.8111702127659574
50	82.4	72.27	0.8182624113475178
51	81.56	69.75	0.7919621749408984
52	82.68	68.91	0.7801418439716313
53	79.78	72.5	0.8184202856310114
54	81.45	78.33	0.8641795394928593
55	81.47	66.39	0.774822695035461
56	80.43	71.67	0.8114252404546779
57	80.45	83.19	0.8720449172576833
58	80.35	78.15	0.8413120567375887
59	80.82	74.79	0.8486997635933806
60	80.45	74.79	0.8167848699763594
61	80.52	72.5	0.8225007286505392
62	79.42	79.83	0.8221040189125296
63	80.26	77.31	0.8380614657210402
64	79.89	69.75	0.8182624113475178
65	80.54	70.59	0.7807328605200945
66	80.45	65.55	0.7591607565011821
67	79.03	76.67	0.8254153308073449
68	80.17	74.79	0.817080378250591
69	79.8	78.99	0.8605200945626478
70	82.67	75.0	0.843194403963859
71	83.41	75.0	0.8335762168464005
72	82.76	72.5	0.848440687846109
73	83.05	78.15	0.8419030732860521
74	83.05	79.83	0.8637706855791962
75	81.94	78.99	0.8815011820330969
76	81.83	82.5	0.880792771786651
77	83.43	78.99	0.8747044917257683
78	81.75	79.83	0.8531323877068558
79	82.12	84.03	0.918144208037825
80	82.12	74.79	0.8427895981087471
81	82.67	80.83	0.8612649373360537
82	83.71	81.51	0.8631796690307328
83	82.77	73.11	0.7792553191489362
84	82.2	73.33	0.8327018361993588
85	82.87	73.11	0.7975768321513003
86	83.33	73.95	0.8194444444444444
87	83.5	75.0	0.8303701544739143
88	83.61	75.63	0.8259456264775414
89	81.92	77.5	0.8376566598659283
90	82.31	74.79	0.8478132387706856
91	82.96	68.07	0.7878250591016548
92	83.69	82.5	0.8857475954532207
93	83.52	75.63	0.8684988179669031
94	84.08	77.31	0.8108747044917257
95	83.71	68.91	0.7863475177304965
96	82.87	76.47	0.8581560283687943
97	83.99	77.31	0.8226950354609929
98	82.01	82.5	0.8612649373360536
99	82.57	71.67	0.8053045759253862
100	83.61	84.03	0.8495862884160756
101	83.33	72.27	0.7990543735224586
102	81.55	79.17	0.8519382104342756
103	81.66	81.51	0.8439716312056738
104	81.01	74.79	0.8383569739952719
105	81.94	79.83	0.8519503546099291
106	82.59	76.47	0.7966903073286052
107	83.33	71.43	0.7940307328605201
108	82.77	75.63	0.8247635933806147
109	82.48	78.33	0.8405712620227339
110	82.03	76.47	0.8560874704491725
111	81.75	74.79	0.8433806146572104
112	82.59	70.59	0.8049645390070923
113	82.96	77.31	0.833628841607565
114	83.15	73.11	0.8055555555555555
115	81.17	75.83	0.8740891868259982
116	82.4	73.11	0.851063829787234
117	82.76	77.5	0.8341591372777616
118	81.56	78.99	0.8359929078014185
119	80.89	72.5	0.8088020985135529
120	82.95	72.5	0.8394054211600117
121	81.47	74.79	0.8141252955082743
122	80.24	85.83	0.9157679976683183
123	82.31	72.27	0.7919621749408983
124	82.87	77.31	0.8726359338061466
125	82.12	76.47	0.8599290780141845
126	82.77	79.83	0.8649527186761229
127	82.68	73.95	0.7795508274231677
128	81.83	78.33	0.843194403963859
129	81.83	77.5	0.8600990964733314
130	82.01	76.67	0.850480909355873
131	81.84	78.15	0.883274231678487
132	83.05	77.31	0.8028959810874705
133	82.4	73.95	0.8469267139479906
134	83.15	72.27	0.8147163120567376
135	81.64	80.83	0.8376566598659283
136	82.39	72.5	0.8088020985135529
137	82.87	68.91	0.7857565011820331
138	82.68	76.47	0.8221040189125296
139	81.38	82.35	0.8761820330969267
140	82.12	80.67	0.8859338061465721
141	82.87	76.47	0.8286052009456265
142	82.57	72.5	0.7971436898863306
143	82.31	78.99	0.8389479905437351
144	82.29	76.67	0.8169629845526085
145	82.4	74.79	0.8416075650118203
146	81.84	76.47	0.8362884160756501
147	82.12	73.11	0.8699763593380614
148	81.28	80.67	0.8844562647754137
149	82.12	79.83	0.8761820330969267
150	81.47	81.51	0.8880023640661938
151	82.77	78.15	0.8315602836879433
152	82.77	77.31	0.8333333333333334
153	82.39	75.0	0.8041387350626639
154	81.92	75.83	0.8227921888662197
155	82.01	74.17	0.8513552900029147
156	82.03	78.15	0.8608156028368795
157	81.75	78.15	0.8844562647754137
