,ExtraTreesClassifier
0,0.020406241283687728
1,0.012030945023011394
2,0.013142449547393653
3,0.01090713406142857
4,0.019587698977774282
5,0.011738282040604862
6,0.007900348802469358
7,0.008754030271611325
8,0.011395213489176128
9,0.007874923210317552
10,0.01607068277562298
11,0.012161763007434823
12,0.012264054947208844
13,0.010830810710732058
14,0.009792039599754703
15,0.018368509400873503
16,0.013657767459745077
17,0.012144349814349522
18,0.016279603551006563
19,0.016806495916973356
20,0.01573289188360254
21,0.01649679770784488
22,0.013680997234856608
23,0.017090630117366726
24,0.013419280984679269
25,0.014368584155747686
26,0.05651097308391155
27,0.013669409122647627
28,0.009360441031172069
29,0.0098731256365473
30,0.004935434500365313
31,0.005739267512684395
32,0.005799638883346916
33,0.011399070836820877
34,0.16269145898028203
35,0.02780936928882667
36,0.021760462664119223
37,0.011755680273917112
38,0.01941710236110277
39,0.009484362408623045
40,0.005348498126729519
41,0.0035954645862730393
42,0.0011413857526886989
43,0.0017336976948778597
44,0.0037244369306385374
45,0.0026871788253797833
46,0.005075075986620638
47,0.0035453434066364435
48,0.002364483557892833
49,0.08726829927555034
50,0.01236728417495338
51,0.012589897088367323
52,0.06311514484681235
53,0.004334376125666111
54,0.0022388242650312525
55,0.0017836584427517183
56,0.000410447316912556
57,0.012139315961214344
58,0.008258693729678215
59,0.015090638779208208
60,0.02807953256647592
,ExtraTreesClassifier
0,0.022662036852402038
1,0.01552721136099714
2,0.0140934950399431
3,0.011092239598819387
4,0.019757790440806233
5,0.010849141018011732
6,0.008587993774815408
7,0.008361982799248737
8,0.009379025726689721
9,0.007812647938166894
10,0.015005825322328241
11,0.01269273455682445
12,0.012072602322379635
13,0.011812794277115988
14,0.007338393555844505
15,0.0215542306169266
16,0.0133279924044934
17,0.012587015423224797
18,0.0175396509138137
19,0.01821163995941134
20,0.015075106501183828
21,0.01608252398637819
22,0.013461298703859884
23,0.016441983731560805
24,0.013754777763944119
25,0.01568479054174758
26,0.060765541956331735
27,0.012568835077020984
28,0.008187907703003042
29,0.009581540841743109
30,0.005241081740510926
31,0.0065201195572361405
32,0.0064025967718333646
33,0.012798025154200001
34,0.15935414080717947
35,0.024354858003391114
36,0.0187820571614579
37,0.009781839025173093
38,0.01898203649545889
39,0.010497258855924532
40,0.005892039461835247
41,0.004067509859803164
42,0.0012105280724743258
43,0.0017537403753914876
44,0.004051304113897757
45,0.0023010050601776034
46,0.006714587552251524
47,0.003489587108879905
48,0.0028107571703287503
49,0.07385297169687266
50,0.015248812239963862
51,0.013029446302276022
52,0.0697195795859599
53,0.006212811172501641
54,0.003428415603361444
55,0.0009173482373635921
56,0.00045775830560210726
57,0.011358541311302268
58,0.0066647703735739985
59,0.013501766223620225
60,0.028731955891160878
,ExtraTreesClassifier
0,0.020074227023864126
1,0.013047464258750186
2,0.013888504026814326
3,0.009268072630350814
4,0.017279278054908514
5,0.012177972319965327
6,0.007813456537292764
7,0.009172290726913071
8,0.008637115867087543
9,0.008438333256432475
10,0.014833625974415092
11,0.013796865793755962
12,0.01196800303787609
13,0.013569106808233368
14,0.008170170544446204
15,0.019077431799765687
16,0.012414598206493987
17,0.013695722070253095
18,0.015141619330584893
19,0.01748463366815474
20,0.016423914242260095
21,0.01487716612088391
22,0.014275833191793376
23,0.0173929540262182
24,0.015617310635791368
25,0.014206968067473671
26,0.0524493883219297
27,0.014052163473836407
28,0.01080932264412262
29,0.010339638083006909
30,0.005405096135657695
31,0.0071920358068137515
32,0.006622296929345605
33,0.011854879775579235
34,0.16367128983216778
35,0.02257815017363731
36,0.01863536015419376
37,0.011196759644362078
38,0.020093436586212578
39,0.011390731723083415
40,0.005921528834939288
41,0.004253375315132924
42,0.0016231015450493835
43,0.0012054528804458621
44,0.004711458747183401
45,0.0019380304574607877
46,0.004411721888491031
47,0.003914511214524952
48,0.0026150237210968473
49,0.07613718796918857
50,0.01368905078003741
51,0.014877702138800622
52,0.06845955139923744
53,0.004443876332872628
54,0.002608274986765871
55,0.0015253529628339502
56,0.000406717537490007
57,0.012203373520043881
58,0.008374683155635453
59,0.01624214389301156
60,0.031404693215030324
,ExtraTreesClassifier
0,0.02070272522182699
1,0.01413000299093512
2,0.017033653599148445
3,0.010011543499937842
4,0.02007036272988673
5,0.013184526217089144
6,0.008770394466234913
7,0.010004745513622133
8,0.010133646612999902
9,0.008630277975784811
10,0.014581217309113749
11,0.011457337646579708
12,0.01215057959485521
13,0.011362444096486998
14,0.00768675489129998
15,0.02168628805777479
16,0.012504081934549256
17,0.010500111626389617
18,0.017066479271071123
19,0.01854436230360865
20,0.015393491855210918
21,0.01916257796362018
22,0.015708060810028616
23,0.01702558317263665
24,0.012357997630833067
25,0.013245169927482418
26,0.0637258363935208
27,0.01499229911581755
28,0.009335959665684665
29,0.008866767068932134
30,0.004632090416967454
31,0.006909222583699169
32,0.006143000405441004
33,0.01132287995471632
34,0.15653101205530315
35,0.02568091272216587
36,0.017699465605388244
37,0.011181955820207829
38,0.016961080318425418
39,0.009088241927513062
40,0.004564627928131355
41,0.00375737390144452
42,0.0008777055617950971
43,0.00038179100922574894
44,0.003047615265644216
45,0.0018093354626334465
46,0.004984648051231106
47,0.0031388765026698034
48,0.0004859838232853547
49,0.07209595301488551
50,0.01260165809886167
51,0.01097917509378088
52,0.07756836589859276
53,0.005277093712819063
54,0.0025632274496785535
55,0.0011827661777304036
56,0.0002143321089024621
57,0.010455204078897622
58,0.006994798651011272
59,0.017663642713715837
60,0.03318068452227376
,ExtraTreesClassifier
0,0.02368357793218715
1,0.012399202605366443
2,0.015156252555019184
3,0.011489868073750959
4,0.01969359764386629
5,0.01180906114879414
6,0.00876171345488031
7,0.00977349651671375
8,0.00994987571938683
9,0.00914207210696234
10,0.01580607362881232
11,0.012478241761133773
12,0.011708020485316533
13,0.013047741535839095
14,0.010972568899506485
15,0.0203592522832473
16,0.013091495283376902
17,0.012485605151525104
18,0.013788915688927596
19,0.016475649893337257
20,0.013994032583218258
21,0.015695090549039736
22,0.01410709426452943
23,0.016557009490340016
24,0.013026779297646061
25,0.0142597164529744
26,0.05727007604022693
27,0.012974395625832382
28,0.008694029470689861
29,0.008640968674188293
30,0.0048973315122722285
31,0.0063147124162954375
32,0.006627839362864786
33,0.012256718429522608
34,0.15259175979475878
35,0.02169120503332795
36,0.019297644580008357
37,0.0103413442004303
38,0.018426029243588035
39,0.009248638318458721
40,0.007219530542977772
41,0.004279648756354847
42,0.0005468841179629383
43,0.00195237953324573
44,0.0042327671319811215
45,0.0022600139982710274
46,0.005656458640722423
47,0.0042975165847361305
48,0.004830507100039147
49,0.08587789030851783
50,0.01409903440535706
51,0.011865886332993326
52,0.07017719739948626
53,0.0048623942124258746
54,0.0012084444911582117
55,0.0018132117854900561
56,0.000493793510744545
57,0.013669199510913436
58,0.007934047273028206
