,GradientBoostingClassifier
0,0.030495672834166494
1,0.0206624185292958
2,0.018557938412977117
3,0.024669810709658242
4,0.03420017009949816
5,0.027714170811879022
6,0.002641309225884959
7,0.011060925275564407
8,0.009233875559649092
9,0.004670217131046081
10,0.017697077018838624
11,0.020712702202660162
12,0.01706297493405772
13,0.01973380379103266
14,0.000986607019486247
15,0.030692427180683438
16,0.020250782035952493
17,0.03558854783369138
18,0.016098153934733895
19,0.016671670461481516
20,0.02339223933441155
21,0.034040837943842675
22,0.024018317258895087
23,0.01755068948001822
24,0.0234496555853699
25,0.023654287342994393
26,0.019842661931897786
27,0.0022604141709085535
28,0.013604484545220695
29,0.007776943795848137
30,0.004507953217016008
31,0.008966223037086054
32,0.0099678330972587
33,0.0035890714985475657
34,0.06373002242369984
35,0.0437078829446284
36,0.05582414077657487
37,0.04059139283284118
38,0.013162084588201286
39,0.038715843985277755
40,0.0010750273771644894
41,0.0004460825042128018
42,0.0
43,0.0011078376737015604
44,0.002299613976472753
45,0.0026927764731708467
46,0.0007015837473546147
47,0.0005059711263808881
48,0.0
49,0.05827177437177675
50,0.013561392417842093
51,0.0018618593114519259
52,0.031889720713014706
53,0.00030693115464710895
54,0.0011225526831831144
55,0.0004859019087222312
56,0.0006120711587554238
57,0.005315944107429378
58,0.0002725415292105317
59,0.002208839952897564
60,0.023507343019834995
,GradientBoostingClassifier
0,0.043775284363387006
1,0.019537118904842173
2,0.028803878329043037
3,0.03085057538970506
4,0.027271705391517572
5,0.02375347865065583
6,0.001140019537159214
7,0.009388182026784134
8,0.008726122377300577
9,0.004612246642135679
10,0.021904481922175794
11,0.017133056989743527
12,0.016292157828052118
13,0.020428313156824307
14,0.0003094130375979015
15,0.025853365855706995
16,0.02532052212181596
17,0.03072099996376068
18,0.02296970465002238
19,0.01989596455653495
20,0.026834616086898924
21,0.025015254013367485
22,0.014337335998116232
23,0.020127569717269613
24,0.023046780530913125
25,0.028189851762894513
26,0.02928569691424478
27,0.004458088380871518
28,0.011094533240877624
29,0.00828388943531341
30,0.004839094120531159
31,0.007511609122969042
32,0.012542611618443422
33,0.0022072708769303975
34,0.045933348267367786
35,0.04672993375003736
36,0.052373759704163775
37,0.03611940922586083
38,0.02633271537417914
39,0.03349884436663096
40,3.34326621612037e-05
41,1.2163026900452057e-05
42,2.9955357608608796e-05
43,7.073206775321966e-06
44,0.002438110326542611
45,0.00020435086077551817
46,0.0006491937637104972
47,0.00026531055798271997
48,0.00010072941469921399
49,0.059431797578187465
50,0.011438463514615988
51,0.0027381801831977523
52,0.03687794993815615
53,0.0012059995302340096
54,0.0019463201652864745
55,2.29291375020949e-05
56,0.0009823902097886872
57,0.001052102417136842
58,0.0007197919634805786
59,0.0015181716919382233
60,0.020876780290673507
,GradientBoostingClassifier
0,0.038798974350367166
1,0.023672591588840476
2,0.018148678692395333
3,0.021938734291464774
4,0.03070289790791112
5,0.023734659752578557
6,0.0010807600234986898
7,0.010523693707386936
8,0.013130910694028528
9,0.004031583859979796
10,0.023663381699709475
11,0.02023808458656455
12,0.014924236393413228
13,0.020029853287893473
14,0.0007478618961780991
15,0.022612534213790916
16,0.02060424184902049
17,0.03367246110379784
18,0.022373823697407494
19,0.019997015990010535
20,0.02038462772714693
21,0.027023454073081207
22,0.017794564771488115
23,0.015910874739559197
24,0.024256158737178186
25,0.017672129997803668
26,0.02371626151635384
27,0.004194764625981249
28,0.01281754579343562
29,0.011241746610325242
30,0.0029145450685819385
31,0.0122218996593673
32,0.010603420848689954
33,0.0027828727017573497
34,0.06521828728059427
35,0.05189353198812894
36,0.05715205628244133
37,0.042566406868266723
38,0.021884248972081532
39,0.03469434324634984
40,0.00014103602280304622
41,0.0009628106224974635
42,0.0
43,3.035553653000576e-06
44,0.0024943660117485757
45,0.0008776951652657492
46,0.0005754485814293697
47,0.001710884680253078
48,3.605103945947914e-05
49,0.05521744035911747
50,0.01452917201623816
51,0.0021428104613653207
52,0.03377638484690158
53,0.0006435959048378715
54,0.0010545376162331285
55,4.9828640230841634e-05
56,0.0002704611520230231
57,0.0033558557399711014
58,0.0005986112621482245
59,0.0020068412393409534
60,0.017982411989632623
,GradientBoostingClassifier
0,0.04068409506725235
1,0.02590666158139023
2,0.024081935312140656
3,0.025152465145817673
4,0.026963578099797502
5,0.0178480960373351
6,0.0007711879221804282
7,0.0054868633111202075
8,0.010500615988338673
9,0.005846944802337993
10,0.018210766003050872
11,0.016586172907006945
12,0.023687360011006457
13,0.027970344455079846
14,0.0005755703813249923
15,0.02818140299056735
16,0.017364508336673457
17,0.02793898496998675
18,0.013553112624639351
19,0.025702105289138657
20,0.01934140788652211
21,0.024265403938524957
22,0.028328317692737272
23,0.019980546722861398
24,0.01929685929164595
25,0.02178743084129717
26,0.01714298699078953
27,0.004144214233930312
28,0.008103765563316224
29,0.007492024532826534
30,0.006885053571893661
31,0.011864912468866362
32,0.009535361234972835
33,0.004438056744387113
34,0.05086741648648504
35,0.04136318566570884
36,0.06833521600526825
37,0.040422711189795305
38,0.015537658004990684
39,0.04358613579830216
40,6.629442797011399e-05
41,0.0009815013553416392
42,1.6677470361703904e-05
43,2.009419281760131e-06
44,0.0035797513533951954
45,0.0009118040785049734
46,0.0008493190933027062
47,0.0002088553358717232
48,0.0
49,0.06564311822664706
50,0.013570952100734208
51,0.0009329694086983578
52,0.037436147663564796
53,0.0011682662525971112
54,0.0020364855589709114
55,0.0006713907128385417
56,0.001639426999332738
57,0.0017244784959335163
58,0.0005226747356873552
59,0.003924008924432026
60,0.01838243228522634
,GradientBoostingClassifier
0,0.0384933841774408
1,0.023877543606457358
2,0.024168618290779317
3,0.019854119541259756
4,0.03124730644084821
5,0.021229933891572964
6,0.0012295420829666335
7,0.01024143578197262
8,0.013958047339875001
9,0.0038879696889372838
10,0.018467919505944376
11,0.013877139901001383
12,0.024590310202199706
13,0.02707010001988978
14,0.0004809602974872445
15,0.018491747333626306
16,0.023845674683875818
17,0.02666627491825966
18,0.021361440483248662
19,0.02292525162590785
20,0.028980211819432045
21,0.024811116535095764
22,0.02202622543783151
23,0.018845986995262944
24,0.017627536095042293
25,0.018763376254351014
26,0.025345293046810383
27,0.0018729979500574305
28,0.009676791205489733
29,0.010156312100001385
30,0.007316657547578688
31,0.008478564998455685
32,0.008549517519455062
33,0.004677431009756269
34,0.05427653073818955
35,0.039179066991195936
36,0.06036997971751796
37,0.04208850709866229
38,0.022171649549040964
39,0.037930910573628275
40,2.7659165242857667e-05
41,3.8360520416786324e-05
42,1.2877429783931485e-08
43,9.810541891683463e-07
44,0.0024835149530074777
45,0.0019000183584330112
46,0.0008331236337878684
47,0.0016864923985374129
48,9.312102312568334e-05
49,0.07151608768714121
50,0.010297489112537458
51,0.00030017291901264195
52,0.033408932851920425
53,0.0015322339982108285
54,0.0022306440895369837
55,0.0005474547616216118
56,0.0008624154871076129
57,0.002215731916118704
58,0.0006555857917471153
59,0.002798036567834284
60,0.01746254783663499
,GradientBoostingClassifier
0,0.040892757506383576
1,0.0182721690905693
2,0.02405284768900447
3,0.015362247907142452
4,0.027044407252598084
5,0.019954472479845
6,0.0033742914480383228
7,0.011806970434614164
8,0.008896179725547515
9,0.008206189371508237
10,0.01522344602216014
11,0.019366394242126005
12,0.019707369452206844
13,0.020878379238458936
14,0.00014145171431012742
15,0.022447315638985152
16,0.02094360876197916
17,0.03363518847518868
18,0.01853303044892402
19,0.01925267884805118
20,0.028109422425642603
21,0.020632152396826677
22,0.02548373263775245
23,0.017761056381020893
24,0.02524658841751622
25,0.030397488043555503
26,0.03275075296928668
27,0.0024119377129276807
28,0.00951410058598347
29,0.009663781988660018
30,0.007941843825673266
31,0.008459820154823012
