,RandomForestClassifier
0,0.03264895031517949
1,0.016092886811615036
2,0.0160757309597777
3,0.01417280983295878
4,0.0205879244920486
5,0.020181321302293075
6,0.0032158560781507467
7,0.00947350807734721
8,0.01277577040551561
9,0.007827284469133711
10,0.02249927072371562
11,0.018866631580963165
12,0.017284527835772844
13,0.02215047824487418
14,0.0013716976409488364
15,0.031949052426960944
16,0.019150413703457724
17,0.022198255158120492
18,0.019449365925579946
19,0.022474822760060693
20,0.021177892770093
21,0.018965562173985387
22,0.01865816198122001
23,0.013361223300915725
24,0.0195500195923071
25,0.018316762509214535
26,0.025650761138528853
27,0.004154826543724451
28,0.009991579660093402
29,0.008763267106611402
30,0.005939225849509787
31,0.010626469976481067
32,0.011316154494076207
33,0.0019244912123329559
34,0.08902503591661233
35,0.057012821702008054
36,0.05796907712939515
37,0.0350278129120736
38,0.020958347489088754
39,0.03921345468253421
40,0.002990367778700762
41,0.0016741704384578646
42,0.00032522919623996537
43,0.0004122629420985289
44,0.0039499115505069295
45,0.0023232807080401517
46,0.0015531711858326914
47,0.002485912725605115
48,0.0004630827138834225
49,0.06497632887912007
50,0.015271613978157128
51,0.0022269845623986394
52,0.024184243553031327
53,0.0018595943321965069
54,0.0028349647699841825
55,0.0005759928323920012
56,0.0003824673448700191
57,0.003615373937395294
58,0.0016418636600366327
59,0.0033220579870623097
60,0.024881618038710092
,RandomForestClassifier
0,0.029045169740693166
1,0.021262132520137814
2,0.016820512486849407
3,0.016135485161055164
4,0.022719762231409087
5,0.0202657613855138
6,0.003395095050370078
7,0.012335936209397585
8,0.012522563573149306
9,0.009248297033862079
10,0.020455102452112395
11,0.02104189028593466
12,0.021260232009001775
13,0.017982853202754646
14,0.001214164762195285
15,0.031065314071316585
16,0.021131160339737453
17,0.024942117159084624
18,0.020510531358891835
19,0.023405929851983785
20,0.02217087462541681
21,0.019516631379685023
22,0.02046330032338968
23,0.014438850853668502
24,0.018998305077685396
25,0.02113599239026581
26,0.02128605001570108
27,0.0029892785874223505
28,0.010247211232462215
29,0.010877332733365783
30,0.007836696011997912
31,0.010530339907952293
32,0.009330679201337731
33,0.0031247668379042752
34,0.07882853998462087
35,0.0547754667062229
36,0.05579575491661973
37,0.039683657993297664
38,0.019067213935226864
39,0.03859623253037279
40,0.0029389358003617965
41,0.001661416533051776
42,0.0001022713946874115
43,0.0009208079933129375
44,0.003188332624131698
45,0.0018526616506696386
46,0.001330096239005179
47,0.0020144253757640885
48,0.0006443751942129426
49,0.06120736834976422
50,0.01513452461922397
51,0.001808009359141978
52,0.02461353397478282
53,0.0021041089132523335
54,0.002908061528275645
55,0.0008730803781652161
56,0.0003805600744927626
57,0.004936328460174434
58,0.0014723058192544366
59,0.004836097522368585
60,0.018619512065839935
,RandomForestClassifier
0,0.03198989005324448
1,0.017760999036421924
2,0.017361642555815526
3,0.017480350815646497
4,0.0231173724361157
5,0.020422314624780957
6,0.0029531046092662917
7,0.01074953596328847
8,0.012543448753846703
9,0.008026521824892855
10,0.019806192205511605
11,0.02252481221933621
12,0.019728988876514145
13,0.020372567243276737
14,0.001515901023063452
15,0.02859586304928266
16,0.019829763820058174
17,0.0238054351121261
18,0.0199132517891297
19,0.023610683843168345
20,0.02314880986460507
21,0.02065381284857512
22,0.020935555803721074
23,0.01398300897479793
24,0.0187743853050215
25,0.0186515404918413
26,0.020701423446471193
27,0.003226010451202475
28,0.010340675222822792
29,0.00822322904170263
30,0.00680617057589714
31,0.009519483408271525
32,0.009306260185246475
33,0.002375273803995714
34,0.07288894333030065
35,0.056650209038862434
36,0.061134443464618354
37,0.037891933115504824
38,0.02081056127709042
39,0.03978493478556136
