,XGBoost
0,0.041585214
1,0.0255909
2,0.03518749
3,0.035009775
4,0.022036608
5,0.0341212
6,0.0014217168
7,0.0044428646
8,0.00657544
9,0.002132575
10,0.024880042
11,0.023636041
12,0.020437177
13,0.0328772
14,0.003021148
15,0.034654345
16,0.018660031
17,0.023813754
18,0.016349742
19,0.041940644
20,0.029678337
21,0.017771458
22,0.014217167
23,0.017593745
24,0.027012618
25,0.025413187
26,0.014039452
27,0.007819442
28,0.029678337
29,0.003909721
30,0.011551448
31,0.016172027
32,0.014039452
33,0.0003554292
34,0.027723476
35,0.062200107
36,0.05420295
37,0.03021148
38,0.014750311
39,0.03678692
40,0.00088857295
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.025057757
50,0.014217167
51,0.0
52,0.027190333
53,0.0001777146
54,0.0003554292
55,0.0
56,0.0
57,0.002132575
58,0.0026657188
59,0.0046205795
60,0.019193176
,XGBoost
0,0.049285714
1,0.023571428
2,0.033392858
3,0.03
4,0.014821429
5,0.046607144
6,0.0030357144
7,0.006785714
8,0.009821429
9,0.0026785715
10,0.014464286
11,0.01892857
12,0.019107142
13,0.02982143
14,0.005892857
15,0.036785714
16,0.023214286
17,0.026964286
18,0.018214285
19,0.028392857
20,0.025892857
21,0.025
22,0.017142856
23,0.018035714
24,0.026785715
25,0.019107142
26,0.01375
27,0.010357142
28,0.023214286
29,0.005
30,0.010535714
31,0.0132142855
32,0.008571428
33,0.0007142857
34,0.030714286
35,0.06303571
36,0.05892857
37,0.02625
38,0.010714286
39,0.043392856
40,0.00035714285
41,0.0
42,0.0
43,0.0
44,0.00035714285
45,0.0
46,0.0
47,0.0
48,0.0
49,0.028928572
50,0.014464286
51,0.0007142857
52,0.035535716
53,0.00035714285
54,0.0007142857
55,0.0
56,0.0
57,0.0017857143
58,0.0007142857
59,0.005892857
60,0.018035714
,XGBoost
0,0.041696113
1,0.025265018
2,0.034098938
3,0.03498233
4,0.020141343
5,0.046996467
6,0.0037102473
7,0.0038869258
8,0.007067138
9,0.001590106
10,0.018727915
11,0.021908127
12,0.020141343
13,0.034098938
14,0.0040636044
15,0.0385159
16,0.020671379
17,0.025795054
18,0.017491166
19,0.044699647
20,0.024204947
21,0.019434629
22,0.016961131
23,0.017314488
24,0.024558304
25,0.027385158
26,0.014487633
27,0.004770318
28,0.023498233
29,0.00565371
30,0.009187279
31,0.017314488
32,0.010777385
33,0.00035335688
34,0.029328622
35,0.058303885
36,0.05777385
37,0.030918729
38,0.009893993
39,0.03957597
40,0.0010600707
41,0.0
42,0.0
43,0.0
44,0.0
45,0.00053003535
46,0.0
47,0.0
48,0.0
49,0.029858658
50,0.013957597
51,0.0
52,0.026325088
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0019434629
58,0.0010600707
59,0.0038869258
60,0.014134276
,XGBoost
0,0.04508125
1,0.02376376
2,0.034422506
3,0.036868773
4,0.021666957
5,0.041237112
6,0.0013978683
7,0.0043683383
8,0.008037742
9,0.0013978683
10,0.022191158
11,0.016075484
12,0.02376376
13,0.037917178
14,0.0020968025
15,0.030927835
16,0.01922069
17,0.03267517
18,0.016075484
19,0.033898305
20,0.027957365
21,0.02026909
22,0.019045955
23,0.021841692
24,0.019570155
25,0.026035296
26,0.014328149
27,0.0073388084
28,0.028306833
29,0.003319937
30,0.009785078
31,0.012056613
32,0.0075135417
33,0.00017473353
34,0.029355234
35,0.06080727
36,0.055215795
37,0.02568583
38,0.010658746
39,0.046653852
40,0.00069893413
41,0.00034946707
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.026734231
50,0.013454482
51,0.00017473353
52,0.030927835
53,0.0
54,0.00017473353
55,0.0
56,0.0
57,0.0024462694
58,0.0012231347
59,0.0076882755
60,0.017123885
,XGBoost
0,0.044301536
1,0.023937121
2,0.03322615
3,0.0441229
4,0.019292604
5,0.037692033
6,0.00410861
7,0.005001786
8,0.0051804218
9,0.0019649875
10,0.017863523
11,0.016970346
12,0.020007145
13,0.03394069
14,0.0067881388
15,0.035369776
16,0.016255805
17,0.032690246
18,0.016613076
19,0.03358342
20,0.025008932
21,0.018935334
22,0.013397642
23,0.021614863
24,0.030010719
25,0.022508038
26,0.017327618
27,0.004287245
28,0.030903894
29,0.006073598
30,0.009646302
31,0.011432654
32,0.006073598
33,0.00035727044
34,0.029296177
35,0.061271884
36,0.05644873
37,0.030010719
38,0.006966774
39,0.049660593
40,0.00017863522
41,0.0
42,0.0
43,0.0
44,0.0
45,0.00017863522
46,0.0
47,0.0
48,0.0
49,0.027509825
50,0.017506253
51,0.00017863522
52,0.0314398
53,0.00017863522
54,0.0
55,0.0
56,0.0
57,0.002322258
58,0.00053590565
59,0.008931762
60,0.010896749
