d0	d1	Gene_Name	known_gene
-1.7646868	-7.939517	AGRN	0.0
6.1244645	0.88114566	NOC2L	0.0
0.48106343	8.129235	B3GALT6	0.0
11.516303	7.2179294	C1orf159	0.0
7.577435	-0.70634496	ISG15	0.0
6.385653	1.6335857	KLHL17	0.0
6.6781816	1.705366	PLEKHN1	0.0
8.525174	6.158629	SAMD11	0.0
-0.27840033	8.223598	OR4F5	0.0
1.7759047	8.490501	HES4	0.0
2.4592261	11.287586	FAM132A	0.0
7.4418616	-0.7627964	TNFRSF18	0.0
5.8294744	-0.5772418	SDF4	0.0
0.57935053	0.48210794	TNFRSF4	0.0
7.81619	2.6936448	TTLL10	0.0
10.984983	2.4204295	UBE2J2	0.0
0.46570432	2.3199308	ATAD3C	0.0
0.8511874	2.0556166	MRPL20	0.0
2.5213044	9.689141	CPSF3L	0.0
7.2875104	7.8705773	AURKAIP1	0.0
11.375854	4.625211	SSU72	0.0
4.094943	9.715538	GLTPD1	0.0
4.6709332	-1.3248067	MXRA8	0.0
4.065507	2.3736112	ACAP3	0.0
0.5496438	1.0728223	VWA1	0.0
0.05802497	2.339654	ATAD3A	0.0
0.26822817	2.9821982	CCNL2	0.0
9.181174	1.1349266	DVL1	1.0
6.1396885	1.2976989	SCNN1D	0.0
1.4202834	2.0832613	ATAD3B	0.0
8.003379	7.644782	PUSL1	0.0
3.8190153	9.209897	C1orf86	0.0
10.806349	-4.830917	SKI	0.0
2.1141663	1.1556075	CDK11B	0.0
14.064988	-1.9322786	GNB1	0.0
1.0151488	11.391205	SLC35E2B	0.0
1.1862276	2.1387925	CDK11A	0.0
0.4370584	1.454891	NADK	0.0
3.3377304	-4.9824796	PEX10	1.0
8.103285	7.820482	CALML6	0.0
-1.0529768	-0.668039	TMEM52	0.0
5.605487	0.2708455	MORN1	0.0
6.9223266	-3.8795362	GABRD	0.0
6.541049	-4.163979	PRKCZ	0.0
10.047238	1.1227695	RER1	0.0
8.383617	4.4716854	MIB2	0.0
2.6241782	-8.463621	SLC35E2	0.0
10.468787	-4.0488925	PRDM16	0.0
9.640876	-5.682366	TP73	0.0
7.732932	-1.3608245	PLCH2	0.0
12.356241	1.4270353	LRRC47	0.0
8.349995	4.3158684	DFFB	0.0
8.778026	6.133033	ACTRT2	0.0
7.875072	1.6503986	ARHGEF16	0.0
7.442617	7.8251443	TPRG1L	0.0
-4.647427	3.4794948	HES5	0.0
7.0118194	8.281622	C1orf174	0.0
6.2405667	0.5487631	MEGF6	0.0
5.115066	0.1530093	FAM213B	0.0
7.241001	0.8435319	CCDC27	0.0
3.786456	2.435404	WRAP73	0.0
5.230513	-1.0342114	CEP104	0.0
8.14953	-0.93010074	MMEL1	0.0
10.599643	0.21812017	PANK4	0.0
7.9803195	-8.117985	TNFRSF14	0.0
3.532829	-5.4028683	KLHL21	0.0
7.069357	3.0544126	NOL9	0.0
14.042353	-6.119672	PLEKHG5	0.0
10.436653	1.0272894	KCNAB2	0.0
6.952548	-3.8203442	ICMT	0.0
7.856872	-0.8753666	ESPN	0.0
11.0904255	-2.246046	AJAP1	0.0
3.553665	2.5298822	ZBTB48	0.0
9.493083	1.1873343	TNFRSF25	0.0
8.110142	4.742675	TAS1R1	0.0
4.3090177	-3.3658602	NPHP4	1.0
13.513299	-6.2469263	RPL22	0.0
5.791748	-1.0238249	RNF207	0.0
3.0472763	8.922483	HES3	0.0
11.70141	1.5068159	CHD5	0.0
12.586961	3.7376888	PHF13	0.0
5.4233613	2.9639637	THAP3	0.0
8.482254	1.7876	ACOT7	0.0
1.2162474	11.693673	HES2	0.0
6.250248	3.1947565	GPR153	0.0
9.386715	0.660817	VAMP3	0.0
9.42238	-2.2637966	SLC45A1	0.0
8.041765	-0.38600093	CA6	0.0
13.384713	1.664668	DNAJC11	0.0
4.497609	-5.9580913	PIK3CD	0.0
2.656476	-3.7694526	ENO1	0.0
5.782999	2.4644084	SLC25A33	0.0
9.592343	-3.6268108	ERRFI1	0.0
7.4666553	0.952646	SLC2A5	0.0
5.398225	5.7623363	GPR157	0.0
-4.112308	8.255131	UTS2	0.0
7.6744533	3.0682502	SLC2A7	0.0
11.308647	3.0931575	TMEM201	0.0
14.090308	-5.5808225	TNFRSF9	0.0
10.748369	-1.1877811	CAMTA1	0.0
2.1811419	-7.5543485	PARK7	0.0
6.019295	-3.7093854	PER3	0.0
8.630484	-0.16597629	H6PD	0.0
12.177858	1.0248334	SPSB1	0.0
12.209434	-4.018288	RERE	0.0
