d0	d1	Gene_Name	known_gene
-43.61816	2.2205777	AGRN	0.0
18.118633	21.53177	NOC2L	0.0
-31.71849	-55.00967	B3GALT6	0.0
19.492527	-68.635864	C1orf159	0.0
0.09543148	-0.36878198	ISG15	0.0
33.1718	33.618958	KLHL17	0.0
40.404263	35.71445	PLEKHN1	0.0
42.85339	34.941612	SAMD11	0.0
-36.089	-60.20094	OR4F5	0.0
-41.167797	-36.118694	HES4	0.0
-50.16241	-63.26702	FAM132A	0.0
-0.45662147	5.5063415	TNFRSF18	0.0
21.218685	10.885209	SDF4	0.0
7.505053	-51.264397	TNFRSF4	0.0
20.863165	40.693626	TTLL10	0.0
13.677772	-30.84527	UBE2J2	0.0
10.118001	-54.598267	ATAD3C	0.0
19.83935	-59.378216	MRPL20	0.0
-44.920563	-32.5011	CPSF3L	0.0
62.078793	-1.0427021	AURKAIP1	0.0
30.068636	-31.599993	SSU72	0.0
-54.02626	-40.718643	GLTPD1	0.0
21.44809	3.610812	MXRA8	0.0
33.327106	5.0498185	ACAP3	0.0
8.635249	-52.194378	VWA1	0.0
7.855115	-56.23975	ATAD3A	0.0
8.86077	-58.429127	CCNL2	0.0
5.1528378	-10.300742	DVL1	1.0
35.168324	36.125504	SCNN1D	0.0
20.503841	-53.70052	ATAD3B	0.0
65.66421	13.3674965	PUSL1	0.0
-56.752018	-37.46668	C1orf86	0.0
-55.811752	-8.845575	SKI	0.0
-16.981443	-57.16678	CDK11B	0.0
-19.519346	-60.696827	GNB1	0.0
-48.10174	-54.967976	SLC35E2B	0.0
21.00916	-58.669434	CDK11A	0.0
12.195995	-52.746677	NADK	0.0
-7.9302416	25.28144	PEX10	1.0
65.368614	10.966905	CALML6	0.0
38.87746	-59.699593	TMEM52	0.0
37.67743	37.26945	MORN1	0.0
-30.182575	-32.033436	GABRD	0.0
-25.253988	-29.272146	PRKCZ	0.0
1.7763151	-11.91158	RER1	0.0
50.703197	14.447843	MIB2	0.0
1.3027656	-45.710323	SLC35E2	0.0
-53.559673	-2.6490211	PRDM16	0.0
-65.67152	0.31401184	TP73	0.0
-3.6188056	-3.5109832	PLCH2	0.0
1.5453417	-36.110546	LRRC47	0.0
54.412403	15.76575	DFFB	0.0
51.37332	-33.5739	ACTRT2	0.0
33.71614	42.181885	ARHGEF16	0.0
61.269184	-0.7810999	TPRG1L	0.0
-58.302383	66.097404	HES5	0.0
66.2591	-1.8438013	C1orf174	0.0
4.7277617	38.075603	MEGF6	0.0
20.615028	12.857346	FAM213B	0.0
32.00852	42.335285	CCDC27	0.0
33.75751	12.011021	WRAP73	0.0
18.039965	7.7637053	CEP104	0.0
21.887451	49.17252	MMEL1	0.0
-6.4737372	-21.41931	PANK4	0.0
-28.528086	40.928173	TNFRSF14	0.0
-7.6226444	21.993437	KLHL21	0.0
42.917473	12.678844	NOL9	0.0
-33.565178	20.246923	PLEKHG5	0.0
1.6676865	-15.889938	KCNAB2	0.0
-30.598286	-31.968744	ICMT	0.0
-2.3775628	-2.4722967	ESPN	0.0
-15.456455	-7.804642	AJAP1	0.0
34.195114	3.5669963	ZBTB48	0.0
1.6573986	-7.3058405	TNFRSF25	0.0
56.283417	13.699865	TAS1R1	0.0
-10.812835	30.689808	NPHP4	1.0
-30.016699	21.281244	RPL22	0.0
17.534552	8.408853	RNF207	0.0
-60.971233	-34.487667	HES3	0.0
-11.449095	-27.396936	CHD5	0.0
29.35276	-36.086575	PHF13	0.0
27.771484	17.07684	THAP3	0.0
21.119373	-22.837427	ACOT7	0.0
-47.334023	-57.157032	HES2	0.0
46.48145	19.864964	GPR153	0.0
-1.1830227	-6.0252733	VAMP3	0.0
-17.7674	-0.7774842	SLC45A1	0.0
-2.1724322	0.5006908	CA6	0.0
-0.04221573	-25.739405	DNAJC11	0.0
-18.582016	16.353996	PIK3CD	0.0
-36.21567	-22.189045	ENO1	0.0
38.878925	14.69728	SLC25A33	0.0
-50.932114	6.3719354	ERRFI1	0.0
18.53011	34.137177	SLC2A5	0.0
54.520058	-28.324665	GPR157	0.0
-67.94852	51.667194	UTS2	0.0
38.840862	49.28892	SLC2A7	0.0
12.628951	-25.224665	TMEM201	0.0
-33.86304	19.390625	TNFRSF9	0.0
